input,original_name,tsn_species,tsn_genus,tsn_family,tsn_order,tsn_class,tsn_phylum,tsn_kingdom,species,genus,family,order,class,phylum,kingdom,log
Mytilus californianus,Mytilus californianus,79455,79452,79451,79450,79118,69458,202423,californianus,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,Animalia,Species found
Mytilus trossulus,Mytilus trossulus,567928,79452,79451,79450,79118,69458,202423,trossulus,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,Animalia,Species found
Pollicipes polymerus,Pollicipes polymerus,89476,89475,621218,621153,621145,82696,202423,polymerus,Pollicipes,Pollicipedidae,Pedunculata,Maxillopoda,Arthropoda,Animalia,Genus found
Semibalanus cariosus,Semibalanus cariosus,89688,89686,89681,621154,621145,82696,202423,cariosus,Semibalanus,Archaeobalanidae,Sessilia,Maxillopoda,Arthropoda,Animalia,Species found
Balanus glandula,Balanus glandula,89609,89600,89599,621154,621145,82696,202423,glandula,Balanus,Balanidae,Sessilia,Maxillopoda,Arthropoda,Animalia,Species found
Halosaccion glandiforme,Halosaccion glandiforme,12825,12824,12750,12718,846511,660046,202422,glandiforme,Halosaccion,Rhodymeniaceae,Rhodymeniales,Florideophyceae,Rhodophyta,Plantae,Genus found
Mastocarpus,Mastocarpus (Gigartina),0,12095,12090,11868,846511,660046,202422,,Mastocarpus,Petrocelidaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,From EOL
Corallina vancouvriensis,Corallina vancouvriensis,12323,12322,12303,660049,846511,660046,202422,vancouveriensis,Corallina,Corallinaceae,Corallinales,Florideophyceae,Rhodophyta,Plantae,Genus found
Endocladia muricata,Endocladia muricata,12287,12286,12285,11868,846511,660046,202422,muricata,Endocladia,Endocladiaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,Genus found
Ulva,Ulva,0,6559,6501,9331,846521,5414,202422,,Ulva,Ulvaceae,Ulvales,Ulvophyceae,Chlorophyta,Plantae,Genus found
Porphyra,Porphyra,0,11540,11530,11490,846509,660046,202422,,Porphyra,Bangiaceae,Bangiales,Bangiophyceae,Rhodophyta,Plantae,Genus found
Petrocelis ralfsia,Petrocelis Ralfsia,0,11883,11869,11868,846511,660046,202422,,Petrocelis,Cruoriaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,Genus found
Acrosiphonia coalita,Acrosiphonia (Spongomorpha) coalita,6726,6721,6720,6409,846521,5414,202422,coalita,Acrosiphonia,Acrosiphoniaceae,Ulotrichales,Ulvophyceae,Chlorophyta,Plantae,Genus found
Diatoms,Diatoms,0,0,0,0,2287,969917,630578,,,,,Bacillariophyceae,Heterokontophyta,Chromista,From EOL
Fucus distichus,Fucus distichus,11337,11334,11329,11328,10686,660055,630578,distichus,Fucus,Fucaceae,Fucales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Microcladia borealis,Microcladia borealis,13081,13080,12883,12882,846511,660046,202422,borealis,Microcladia,Ceramiaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,Genus found
Halichondria haliclona,Halichondria Haliclona,0,0,0,0,47528,46861,202423,,,,,Demospongiae,Porifera,Animalia,Genus found
Hedophyllum sessile,Sacharina (Hedophyllum) sessilis,11255,11254,11216,11211,10686,660055,630578,sessilis,Saccharina ,Laminariaceae,Laminariales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Anthopleura,Anthopleura,0,52551,52541,52485,51938,48738,202423,,Anthopleura,Actiniidae,Actiniaria,Anthozoa,Cnidaria,Animalia,Genus found
Mazzaella,Iridaea,0,12127,12090,11868,846511,660046,202422,,Iridaea,Desmarestiaceae,Desmarestiales,Phaeophyceae,Heterokontophyta,Chromista,From EOL
Balanus nubilus,Balanus nubilus,656266,89600,89599,621154,621145,82696,202423,nubilus,Balanus,Balanidae,Sessilia,Maxillopoda,Arthropoda,Animalia,Species found
Chthamalus dalli,Chthamalus dalli,89592,89591,89590,621154,621145,82696,202423,dalli,Chthamalus,Chthamalidae,Sessilia,Maxillopoda,Arthropoda,Animalia,Genus found
Leathesia marine (difformis),Leathesia marine (difformis),10961,10960,10950,10687,10686,660055,630578,marina,Leathesia,Corynophlaeaceae,Ectocarpales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Polysiphonia,Polysiphonia,0,13440,13439,12882,846511,660046,202422,,Polysiphonia,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,Genus found
Entodesma saxicola,Entodesma saxicola,81911,81910,81909,566855,79118,69458,202423,saxicola,Entodesma,Lyonsiidae,Pholadomyoida,Bivalvia,Mollusca,Animalia,Species found
Neorhodomela,Neorhodomela,13577,13576,13439,12882,846511,660046,202422,laryx,Neorhodomela,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,From EOL
Prionitis,Prionitis,0,12591,12557,846565,846511,660046,202422,,Prionitis,Cryptonemiaceae,Halymeniales,Florideophyceae,Rhodophyta,Plantae,Genus found
Laminaria,Laminaria,0,11217,11216,11211,10686,660055,630578,,Laminaria,Laminariaceae,Laminariales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Alaria,Alaria,0,11289,11288,11211,10686,660055,630578,,Alaria,Alariaceae,Laminariales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Costaria costata,Costaria costata,11250,11249,11216,11211,10686,660055,630578,costata,Costaria,Laminariaceae,Laminariales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Petalonia fasciata,Petalonia fasciata,11432,11431,11423,11422,10686,660055,630578,fasciata,Petalonia,Scytosiphonaceae,Scytosiphonales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Callithamnion pikeanum,Callithamnion pikeanum,12937,12928,12883,12882,846511,660046,202422,pikeanum,Callithamnion,Ceramiaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,Genus found
Scytosiphon lomentaria,Scytosiphon lomentaria,11435,11434,11423,11422,10686,660055,630578,lomentaria,Scytosiphon,Scytosiphonaceae,Scytosiphonales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Serpula vermicularis, Serpula vermicularis,68244,68243,68232,555669,914166,64357,202423,vermicularis,Serpula,Serpulidae,Canalipalpata,Polychaeta,Annelida,Animalia,From EOL
Cumagloia andersonii,Cumagloia andersonii,11700,11699,11681,11586,846511,660046,202422,andersonii,Cumagloia,Helminthocladiaceae,Nemaliales,Florideophyceae,Rhodophyta,Plantae,Species found
coralline algae,Articulated corralines,0,0,0,660049,846511,660046,202422,,,,Corallinales,Florideophyceae,Rhodophyta,Plantae,From EOL
Phyllospadix,Phyllospadix,0,39070,39069,38883,18063,846496,202422,,Phyllospadix,Zosteraceae,Alismatales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Eudistylia,Eudistylia,0,68109,68076,555669,914195,64357,202423,,Eudistylia,Sabellidae,Canalipalpata,Sedentaria,Annelida,Animalia,Genus found
Postelsia palmaeformis,Postelsia palmaeformis,11280,11279,11268,11211,10686,660055,630578,palmaeformis,Postelsia,Lessoniaceae,Laminariales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Analipus japonicus,Analipus japonicus,11002,11000,10974,10687,10686,660055,630578,japonicus,Analipus,Ralfsiaceae,Ralfsiales,Phaeophyceae,Ochrophyta,Chromista,From EOL
Enteromorpha,Enteromorpha,0,6515,6501,9331,846521,5414,202422,,Enteromorpha,Ulvaceae,Ulvales,Ulvophyceae,Chlorophyta,Plantae,Genus found
Nucella ostrina,Nucella ostrina,73295,73292,73236,73228,69459,69458,202423,ostrina,Nucella,Muricidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Genus found
Nucella canalicalata,Nucella canalicalata,73293,73292,73236,73228,69459,69458,202423,canaliculata,Nucella,Muricidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Genus found
Nucella lamellosa,Nucella lamellosa,73294,73292,73236,73228,69459,69458,202423,lamellosa,Nucella,Muricidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Species found
Lottia pelta,Lottia pelta,567823,69731,204927,566854,69459,69458,202423,pelta,Lottia,Lottiidae,Patellogastropoda,Gastropoda,Mollusca,Animalia,Species found
Lottia digitalis,Lottia digitalis,567816,69731,204927,566854,69459,69458,202423,digitalis,Lottia,Lottiidae,Patellogastropoda,Gastropoda,Mollusca,Animalia,Species found
Lottia paradigitalis,Lottia paradigitalis,567825,69731,204927,566854,69459,69458,202423,paradigitalis,Lottia,Lottiidae,Patellogastropoda,Gastropoda,Mollusca,Animalia,Genus found
Lottia scutum,Lottia (Tectura) scutum,568351,69731,204927,566854,69459,69458,202423,scutum,Lottia,Lottiidae,Patellogastropoda,Gastropoda,Mollusca,Animalia,Genus found
Onchidella borealis,Onchidella borealis,78762,78761,78760,566857,69459,69458,202423,borealis,Onchidella,Onchidiidae,Systellommatophora,Gastropoda,Mollusca,Animalia,Species found
Katharina tunicata,Katharina tunicata,78979,78978,78965,914233,78807,69458,202423,tunicata,Katharina,Mopaliidae,Chitonida,Polyplacophora,Mollusca,Animalia,Species found
Mopalia,Mopalia,0,78980,78965,914233,78807,69458,202423,,Mopalia,Mopaliidae,Chitonida,Polyplacophora,Mollusca,Animalia,Genus found
Nereis vexillosa,Nereis vexillosa,65911,65902,65870,914225,914194,64357,202423,vexillosa,Nereis,Nereididae,Phyllodocida,Errantia,Annelida,Animalia,Genus found
Emplectonema gracile,Emplectonema gracile,57496,57494,57493,57491,57490,57411,202423,gracile,Emplectonema,Emplectonematidae,Hoplonemertea,Enopla,Nemertea,Animalia,Genus found
Littorina sitkana,Littorina sitkana,70397,70395,70394,566851,69459,69458,202423,sitkana,Littorina,Littorinidae,Neotaenioglossa,Gastropoda,Mollusca,Animalia,Species found
Littorina scutulata,Littorina scutulata,70401,70395,70394,566851,69459,69458,202423,scutulata,Littorina,Littorinidae,Neotaenioglossa,Gastropoda,Mollusca,Animalia,Species found
Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,157975,157968,157965,157939,157821,156857,202423,purpuratus,Strongylocentrotus,Strongylocentrotidae,Echinoida,Echinoidea,Echinodermata,Animalia,Species found
Strongylocentrotus droebachensis,Strongylocentrotus droebachensis,157969,157968,157965,157939,157821,156857,202423,droebachiensis,Strongylocentrotus,Strongylocentrotidae,Echinoida,Echinoidea,Echinodermata,Animalia,Genus found
Strongylocentrotus franciscanus,Strongylocentrotus franciscanus,157971,157968,157965,157939,157821,156857,202423,franciscanus,Strongylocentrotus,Strongylocentrotidae,Echinoida,Echinoidea,Echinodermata,Animalia,Species found
Leptasterias hexactis,Leptasterias hexactis,157234,157225,157212,157197,156862,156857,202423,hexactis,Leptasterias,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Animalia,Species found
Amphipoda,Amphipoda,0,0,0,93294,89787,82696,202423,,,,Amphipoda,Malacostraca,Arthropoda,Animalia,From EOL
Amphissa columbiana,Amphissa columbiana,73535,73534,73532,73228,69459,69458,202423,columbiana,Amphissa,Columbellidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Species found
Idotea wosnesenskii,Idotea wosnesenskii,771314,92588,92564,92120,89787,82696,202423,wosnesenskii,Idotea,Idoteidae,Isopoda,Malacostraca,Arthropoda,Animalia,Genus found
Cirolana,Cirolana,0,92226,92225,92120,89787,82696,202423,,Cirolana,Cirolanidae,Isopoda,Malacostraca,Arthropoda,Animalia,Genus found
Chironomids,Chironomidae,0,0,127917,118831,99208,82696,202423,,,Chironomidae,Diptera,Insecta,Arthropoda,Animalia,Family found
Tonicella lineata,Tonicella lineata,78899,78897,78842,914233,78807,69458,202423,lineata,Tonicella,Ischnochitonidae,Chitonida,Polyplacophora,Mollusca,Animalia,Species found
Calliostoma ligatum,Calliostoma ligatum,69798,69795,566888,69461,69459,69458,202423,ligatum,Calliostoma,Calliostomatidae,Archaeogastropoda,Gastropoda,Mollusca,Animalia,Species found
Pagurus,Pagurid,0,0,97774,95599,89787,82696,202423,,,Paguridae,Decapoda,Malacostraca,Arthropoda,Animalia,From EOL
Phascolosoma agassizii,Phascolosoma agassizii,772572,154884,154883,772456,772451,154520,202423,agassizii,Phascolosoma,Phascolosomidae,Phascolosomatiformes,Phascolosomatidae,Sipuncula,Animalia,From EOL
Cucumaria pseudocurata,Cucumaria pseudocurata,158209,158191,158190,158142,158140,156857,202423,pseudocurata,Cucumaria,Cucumariidae,Dendrochirotida,Holothuroidea,Echinodermata,Animalia,Genus found
Ocenebra interfossa,Ocenebra interfossa,73243,73242,73236,73228,69459,69458,202423,interfossa,Ocenebra,Muricidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Species found
Petrolisthes,Petrolisthes,0,98059,98058,95599,89787,82696,202423,,Petrolisthes,Porcellanidae,Decapoda,Malacostraca,Arthropoda,Animalia,Genus found
Tegula funebralis,Chlorostoma (Tegula) funebralis,69950,69948,69794,69461,69459,69458,202423,funebralis,Chlorostoma,Trochidae,Archaeogastropoda,Gastropoda,Mollusca,Animalia,Genus found
Lacuna vincta,Lacuna vincta,70381,70370,70394,566851,69459,69458,202423,vincta,Lacuna,Littorinidae,Neotaenioglossa,Gastropoda,Mollusca,Animalia,Species found
Ophiuroidea,Ophiuroidea,0,0,0,157382,157325,156857,202423,,,,Ophiurida,Ophiuroidea,Echinodermata,Animalia,From EOL
Notoplana,Notoplana,0,54127,54115,54073,914204,53963,202423,,Notoplana,Notoplanidae,Polycladida,Rhabditophora,Platyhelminthes,Animalia,From EOL
Nereis,Nereis sp.,0,65902,65870,914225,914194,64357,202423,,Neries,Nereididae,Phyllodocida,Errantia,Annelida,Animalia,From EOL
Lepidochitona,Lepidochitona,0,78878,78842,914233,78807,69458,202423,,Lepidochitona,Ischnochitonidae,Chitonida,Polyplacophora,Mollusca,Animalia,Genus found
Dialula sandiegensis,Dialula (Discodoris)  sandiegensis,78188,78189,78282,78156,69459,69458,202423,sandiegensis,Dialula,Discodorididae,Nudibranchia,Gastropoda,Mollusca,Animalia,Genus found
Alia,Alia,0,202538,73532,73228,69459,69458,202423,,Alia,Columbellidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Genus found
Archidoris montereyensis,Archidoris montereyensis,78213,78212,78288,78156,69459,69458,202423,montereyensis,Archidoris,Archidorididae,Nudibranchia,Gastropoda,Mollusca,Animalia,Species found
Oedignathus inermis,Oedignathus inermis,97929,97928,97919,95599,89787,82696,202423,inermis,Oedignathus,Lithodidae,Decapoda,Malacostraca,Arthropoda,Animalia,Genus found
Pinnotheres plsum,Pinnotheres plsum,98979,98974,98964,95599,89787,82696,202423,,Pinnotheres,Pinnotheridae,Decapoda,Malacostraca,Arthropoda,Animalia,Genus found
Odostomia columbiana,Odostomia columbiana,75475,75447,75446,566849,69459,69458,202423,columbiana,Odostomia,Pyramidellidae,Heterostropha,Gastropoda,Mollusca,Animalia,Species found
sand tube worm,sand tube worm,0,0,0,0,0,64357,202423,,,,,,Annelida,Animalia,From EOL
Fissurellidea bimaculata,Fissurelidia (Megatebennus) bimaculatus,69582,69581,69510,69461,69459,69458,202423,bimaculatus,Megatebennus,Fissurellidae,Archaeogastropoda,Gastropoda,Mollusca,Animalia,Species found
Oligocottus maculosus,Oligocottus maculosus,167333,167332,167196,166702,161061,158852,202423,maculosus,Oligocottus,Cottidae,Scorpaeniformes,Actinopterygii,Chordata,Animalia,Species found
Hermissenda crassicornis,Hermissenda (Phidiana) crassicornis,78699,78715,78697,78156,69459,69458,202423,crassicornis,Hermissenda,Facelinidae,Nudibranchia,Gastropoda,Mollusca,Animalia,Genus found
Ceratostoma foliatum,Ceratostoma foliatum,73240,73239,73236,73228,69459,69458,202423,foliatum,Ceratostoma,Muricidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Genus found
Pisaster ochraceus,Pisaster ochraceus,157253,157251,157212,157197,156862,156857,202423,ochraceus,Pisaster,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Animalia,Genus found
Clinocottus embryum,Clinocottus embryum,167225,167222,167196,166702,161061,158852,202423,embryum,Clinocottus,Cottidae,Scorpaeniformes,Actinopterygii,Chordata,Animalia,Species found
Staphylinidae,Staphylinid  Beetle,0,0,113265,109216,99208,82696,202423,,,Staphylinidae,Coleoptera,Insecta,Arthropoda,Animalia,Genus found
Siphonaria thersites,Siphonaria thersites,76444,76443,76442,76437,69459,69458,202423,thersites,Siphonaria,Siphonariidae,Basommatophora,Gastropoda,Mollusca,Animalia,Genus found
Turridae,Small Turrid,0,0,74555,73228,69459,69458,202423,,,Turridae,Neogastropoda,Gastropoda,Mollusca,Animalia,From EOL
Halosydna brevisetosa,Halosydna brevisetosa,64489,64488,64397,914225,914194,64357,202423,brevisetosa,Halosydna,Polynoidae,Phyllodocida,Errantia,Annelida,Animalia,Species found
Stichaeidae,Stichaeidae,0,0,171554,167640,161061,158852,202423,,,Stichaeidae,Perciformes,Actinopterygii,Chordata,Animalia,Family found
Henricia,Henricia,0,157152,157151,157060,156862,156857,202423,,Henricia,Echinasteridae,Spinulosida,Asteroidea,Echinodermata,Animalia,Genus found
Opalia montereyensis,Opalia montereyensis,72296,72294,72232,566851,69459,69458,202423,montereyensis,Opalia,Epitoniidae,Neotaenioglossa,Gastropoda,Mollusca,Animalia,Genus found
Clinocottus globiceps,Clinocottus globiceps,167226,167222,167196,166702,161061,158852,202423,globiceps,Clinocottus,Cottidae,Scorpaeniformes,Actinopterygii,Chordata,Animalia,Species found
Larus glaucescens,Larus glaucescens,176814,176803,176802,176445,174371,158852,202423,glaucescens,Larus,Laridae,Charadriiformes,Aves,Chordata,Animalia,Species found
Haematopus bachmani,Haematopus bachmani,176475,176468,176467,176445,174371,158852,202423,bachmani,Haematopus,Haematopodidae,Charadriiformes,Aves,Chordata,Animalia,Species found
Corvus caurinus,Corvus caurinus,179736,179724,179665,178265,174371,158852,202423,caurinus,Corvus,Corvidae,Passeriformes,Aves,Chordata,Animalia,Species found
Detritus,Detritus,0,0,0,0,0,0,0,,Non-Living,Non-Living,Non-Living,Non-Living,Non-Living,Non-Living,Non-Living
Phytoplankton,Phytoplankton,0,0,0,0,0,0,202422,,,,,,,Plantae,The name does not match Species nor Genus nor Family in the database
Zooplankton,Zooplankton,0,0,0,0,0,0,202423,,,,,,,Animalia,The name does not match Species nor Genus nor Family in the database
Particulate Detritus,Particulate Detritus,0,0,0,0,0,0,0,,Non-Living,Non-Living,Non-Living,Non-Living,Non-Living,Non-Living,Non-Living
Paranemertes peregrina,Paranemertes peregrina,57505,57502,57493,57491,57490,57411,202423,peregrina,Paranemertes,Emplectonematidae,Hoplonemertea,Enopla,Nemertea,Animalia,Genus found
Amphiporus bimaculatus,Amphiporus bimaculatus,57525,57523,57522,57491,57490,57411,202423,bimaculatus,Amphiporus,Amphiporidae,Hoplonemertea,Enopla,Nemertea,Animalia,Genus found
Haliaeetus leucocephalus,Haliaeetus leucocephalus,175420,175418,175280,823961,174371,158852,202423,leucocephalus,Haliaeetus,Accipitridae,Accipitriformes,Aves,Chordata,Animalia,Species found
Falco peregrinus,Falco peregrinus,175604,175598,175593,175262,174371,158852,202423,peregrinus,Falco,Falconidae,Falconiformes,Aves,Chordata,Animalia,Species found
Pelagic Fish,Pelagic Fish,0,0,0,0,161061,158852,202423,,,,,Actinopterygii,Chordata,Animalia,From EOL